Church,Latitude,Longitude,Tradition,Capacity
St. Thomas Episcopal,40.732562,-73.447389,Protestant,300
St. Killian,40.73279,-73.443881,Catholic,1000
St. Lukes Lutheran,40.731148,-73.449707,Protestant,1000
Farmingdale UMC,40.730083,-73.444643,Protestant,500
New Life,40.719708,-73.439722,Protestant,500
Farmingdale Christian,40.735865,-73.445924,Protestant,300
Living Faith,40.730351,-73.462981,Protestant,1000
St. James,40.722422,-73.487339,Catholic,1000
Church of Christ,40.722143,-73.483634,Protestant,300
Bethpage Assembly of God,40.736362,-73.480853,Protestant,500
Masjid Bilal,40.730579,-73.451806,Islam,500
Masjid Al-Baqi,40.738939,-73.482507,Islam,300
